Disease,Symptoms
Malaria,"fever, headache, weakness, cough, vomiting"
Flu,"fever, headache, runny nose, muscle aches, fatigue"
Measles,"fever, red rash, conjunctivitis, cough, rhinitis"
Pneumonia,"sputum production, fever, chest pain, cough, chills, fatigue, shortness of breath"
Tinnitus,"hissing, buzzing, clicking, roaring, ringing in the ears"
Acetonemia,"vomiting, headache, fatigue, agitation"
Prostate Adenoma,"frequent urination, inability to sleep through the night without urinating, urinary leakage, difficulty urinating"
Food Allergy,"respiratory disorder, vomiting, rapid pulse, diarrhea, low blood pressure, malaise, runny nose, abdominal pain, eczema"
Alopecia,"hair loss, gradual thinning of hair"
Amnesia,"disorientation in time, memory loss"
Tonsillitis,"swollen tonsils, fever, difficulty swallowing, sore throat"
Amenorrhea,"headache, hot flashes, absence of menstruation"
Andropause,"dry skin, hair loss, weight gain, sexual dysfunction, decreased muscle mass and strength, decreased testicular volume"
Angina Pectoris,"breathing difficulty, nausea, malaise, anxiety, excessive sweating, vomiting"
Viral or Bacterial Angina,"fever, headache, sweating, chills, swollen lymph nodes and difficulty swallowing, sore throat"
Angioma,"infection or bleeding, extensive angioma, sudden appearance of an angioma"
Anorexia,"significant and constant weight loss, hair loss, constipation, anxiety, brittle nails, memory imbalance"
Anthrax,"malaise, fever, chills, lethargy"
Anuria,"high blood pressure, nausea, headache, seizures, vomiting, lower back pain, swelling"
Anxiety,"breathing difficulty, choking sensation, tremors, cold sweats, right hand discomfort, rapid heartbeat, palpitations"
Anemia,"paleness, shortness of breath on exertion, dizziness, palpitations, abnormal fatigue"
Skin Abscess,"pain, red and warm skin, skin swelling"
Dental Abscess,"fever, headache, general fatigue"
Osteoarthritis,"joint crepitus, limited movement, joint swelling, deformation of affected joints"
Asthma,"breathing difficulty, dry, sometimes chronic cough, excessive sweating, wheezing, pursed lips, shortness of breath"
Astigmatism,"light sensitivity, headache, double vision, frequent squinting, eye fatigue, dizziness"
Autism,"insensitivity to noise, absent speech, distinctive gait, difficulty establishing contact"
Appendicitis,"loss of appetite, vomiting, nausea, fever"
Bloating,"abdominal cramps, complete absence of gas and stool, weight loss, diarrhea"
Gonorrhea,"pain, frequent urge to urinate, itching, eye involvement, inflammation, stinging"
Hot Flashes,"facial redness, heat sensation, excessive sweating"
Acute Bronchitis,"pain, fever, burning sensation in the chest, fatigue, breathing discomfort"
Chronic Bronchitis,"sputum production, cough, shortness of breath"
Burn,"pain, redness of the skin, skin swelling"
Heartburn,"burning sensation in the sternum and throat, pain, acid reflux, bitter or sour taste in the throat and mouth"
Stuttering,"motor disorder, hesitation while speaking, use of synonyms, repetition of the same sound"
Kidney Stones,"pain, fever, nausea, chills, burning sensation"
Skin Cancer,"red lesions, skin lesions, flat pink macule, burning sensation, eczema"
